job_id,worker_id,class,subtime_s,lifetime_s
w0!w000000__freemium,0,freemium,0.642215,18.355988
w0!w000001__freemium,1,freemium,0.849197,11.6456
w0!w000002__freemium,2,freemium,1.127565,27.068898
w0!w000003__enterprise,3,enterprise,1.264784,22.022508
w0!w000004__enterprise,4,enterprise,1.358111,15.499301
w0!w000005__freemium,5,freemium,1.478232,25.449925
w0!w000006__freemium,6,freemium,1.681853,18.387342
w0!w000007__premium,7,premium,2.073763,12.666686
w0!w000008__premium,8,premium,2.704478,17.479651
w0!w000009__premium,9,premium,3.276327,25.875555
w0!w000010__freemium,10,freemium,3.581972,18.182008
w0!w000011__enterprise,11,enterprise,3.586398,25.270743
w0!w000012__enterprise,12,enterprise,3.676297,17.137906
w0!w000013__premium,13,premium,4.374377,21.248815
w0!w000014__premium,14,premium,4.657087,23.952013
w0!w000015__enterprise,15,enterprise,5.065847,15.131915
w0!w000016__premium,16,premium,5.340604,15.428376
w0!w000017__premium,17,premium,5.449162,20.679403
w0!w000018__freemium,18,freemium,5.639513,10.462507
w0!w000019__freemium,19,freemium,5.754497,20.967563
w0!w000020__premium,20,premium,6.177081,24.000963
w0!w000021__premium,21,premium,6.479548,17.232922
w0!w000022__enterprise,22,enterprise,6.524914,11.810879
w0!w000023__enterprise,23,enterprise,6.685602,21.710056
w0!w000024__enterprise,24,enterprise,6.735907,22.786418
w0!w000025__premium,25,premium,6.75734,22.649818
w0!w000026__freemium,26,freemium,7.234204,11.148257
w0!w000027__enterprise,27,enterprise,7.303093,17.257908
w0!w000028__enterprise,28,enterprise,8.132033,19.105129
w0!w000029__freemium,29,freemium,8.21232,26.83359
w0!w000030__freemium,30,freemium,8.587141,12.358659
w0!w000031__enterprise,31,enterprise,8.619193,14.985619
w0!w000032__premium,32,premium,8.694156,21.132761
w0!w000033__freemium,33,freemium,8.835645,19.346857
w0!w000034__premium,34,premium,9.069285,29.263982
w0!w000035__premium,35,premium,9.135429,20.762554
w0!w000036__premium,36,premium,9.28464,26.73929
w0!w000037__premium,37,premium,9.693539,15.94499
w0!w000038__freemium,38,freemium,9.766178,27.666365
w0!w000039__premium,39,premium,10.049861,24.410776
w0!w000040__enterprise,40,enterprise,10.305361,28.097521
w0!w000041__enterprise,41,enterprise,10.621592,12.263109
w0!w000042__premium,42,premium,10.760736,16.805143
w0!w000043__freemium,43,freemium,11.006205,11.711329
w0!w000044__premium,44,premium,11.31424,19.917519
w0!w000045__enterprise,45,enterprise,12.056107,26.08813
w0!w000046__enterprise,46,enterprise,13.030056,28.448486
w0!w000047__enterprise,47,enterprise,13.057441,26.497672
w0!w000048__enterprise,48,enterprise,13.09857,19.761006
w0!w000049__freemium,49,freemium,13.123138,12.602048
w0!w000050__freemium,50,freemium,13.196528,22.430708
w0!w000051__enterprise,51,enterprise,13.258368,19.953385
w0!w000052__premium,52,premium,13.263091,12.035165
w0!w000053__premium,53,premium,13.326856,28.314337
w0!w000054__enterprise,54,enterprise,13.999537,19.442756
w0!w000055__freemium,55,freemium,14.08594,26.996806
w0!w000056__premium,56,premium,14.803766,22.640423
w0!w000057__enterprise,57,enterprise,14.821197,27.99284
w0!w000058__enterprise,58,enterprise,15.661757,25.180522
w0!w000059__freemium,59,freemium,15.855593,17.333085
w0!w000060__freemium,60,freemium,15.871388,12.498839
w0!w000061__premium,61,premium,15.916857,20.101907
w0!w000062__enterprise,62,enterprise,16.145568,23.229791
w0!w000063__freemium,63,freemium,16.188526,18.850744
w0!w000064__enterprise,64,enterprise,16.240308,26.56984
w0!w000065__enterprise,65,enterprise,16.380478,28.341409
w0!w000066__premium,66,premium,17.267031,25.443961
w0!w000067__premium,67,premium,17.305591,11.168277
w0!w000068__freemium,68,freemium,17.311513,23.469794
w0!w000069__enterprise,69,enterprise,17.793852,28.986382
w0!w000070__enterprise,70,enterprise,18.398089,14.071176
w0!w000071__enterprise,71,enterprise,19.031597,28.179549
w0!w000072__premium,72,premium,19.107966,18.557343
w0!w000073__premium,73,premium,19.151375,23.899844
w0!w000074__enterprise,74,enterprise,19.36767,13.95491
w0!w000075__premium,75,premium,20.315991,17.802121
w0!w000076__premium,76,premium,20.439259,10.774973
w0!w000077__premium,77,premium,21.098316,26.918453
w0!w000078__enterprise,78,enterprise,21.334981,27.347797
w0!w000079__enterprise,79,enterprise,21.578263,23.175535
w0!w000080__premium,80,premium,21.981698,18.064824
w0!w000081__enterprise,81,enterprise,22.493257,21.915957
w0!w000082__freemium,82,freemium,22.638588,20.907238
w0!w000083__enterprise,83,enterprise,22.875762,10.958147
w0!w000084__enterprise,84,enterprise,23.357371,27.827956
w0!w000085__premium,85,premium,23.957916,25.633875
w0!w000086__freemium,86,freemium,24.222755,29.474459
w0!w000087__freemium,87,freemium,24.371459,19.975602
w0!w000088__freemium,88,freemium,25.024491,15.047246
w0!w000089__enterprise,89,enterprise,25.732581,14.394794
w0!w000090__premium,90,premium,26.350642,13.633916
w0!w000091__freemium,91,freemium,26.44696,28.827028
w0!w000092__enterprise,92,enterprise,26.884677,14.621315
w0!w000093__freemium,93,freemium,27.142225,12.317584
w0!w000094__freemium,94,freemium,27.404448,25.873896
w0!w000095__freemium,95,freemium,28.360688,24.958422
w0!w000096__freemium,96,freemium,28.856643,29.973422
w0!w000097__enterprise,97,enterprise,28.972504,19.435884
w0!w000098__premium,98,premium,29.167115,28.329014
w0!w000099__freemium,99,freemium,29.423755,20.263785
w0!w000100__premium,100,premium,29.532417,12.944348
w0!w000101__enterprise,101,enterprise,29.741039,18.622925
w0!w000102__freemium,102,freemium,30.108499,29.403247
w0!w000103__enterprise,103,enterprise,30.132058,14.756489
w0!w000104__freemium,104,freemium,30.182541,15.731515
w0!w000105__freemium,105,freemium,30.957888,26.349557
w0!w000106__enterprise,106,enterprise,31.000092,24.435089
w0!w000107__enterprise,107,enterprise,31.319613,27.535617
w0!w000108__premium,108,premium,31.699528,29.3259
w0!w000109__premium,109,premium,31.801757,20.294078
w0!w000110__premium,110,premium,32.126299,29.283718
w0!w000111__enterprise,111,enterprise,32.276945,22.541812
