policy,replica,max_active,mean_active,p95_active,time_points_above_theta
round_robin,r0,12.0,8.139050791007493,10.0,17.735220649458785
round_robin,r1,13.0,8.210657785179018,11.0,23.730224812656118
round_robin,r2,10.0,7.462114904246461,9.0,3.1640299750208163
round_robin,r3,13.0,8.11240632805995,11.0,22.231473771856784
round_robin,r4,12.0,7.5503746877602,10.0,11.99000832639467
round_robin,r5,11.0,7.826810990840966,10.0,16.56952539550375
round_robin,r6,12.0,8.149042464612823,11.0,25.3955037468776
round_robin,r7,11.0,8.026644462947544,10.0,19.816819317235637
least_loaded,r0,11.0,8.452123230641133,10.0,19.65029142381349
least_loaded,r1,10.0,8.249791840133222,10.0,15.23730224812656
least_loaded,r2,10.0,8.117402164862614,10.0,17.069109075770193
least_loaded,r3,10.0,7.914238134887594,10.0,8.90924229808493
least_loaded,r4,10.0,7.875104079933389,9.0,4.8293089092422985
least_loaded,r5,10.0,7.671940049958368,9.0,1.5820149875104081
least_loaded,r6,10.0,7.681099084096586,10.0,5.07910074937552
least_loaded,r7,10.0,7.5154038301415484,9.0,0.2497918401332223
