replica,max_active,mean_active,p95_active,time_points_above_theta_pct
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
r0,11.0,8.452123,10.0,19.650291
