time_s,class,replica,action,event,reason,source_pool,target_pool
8.587141,freemium,3,borrow_mixed,start,own_pool_saturated,mixed,freemium
8.619193,enterprise,4,borrow_mixed,start,own_pool_saturated,mixed,enterprise
8.694156,premium,5,borrow_mixed,start,own_pool_saturated,mixed,premium
15.661757,enterprise,6,borrow_mixed,start,own_pool_saturated,mixed,enterprise
15.916857,premium,7,borrow_mixed,start,own_pool_saturated,mixed,premium
32.706531,enterprise,5,borrow_lower,start,load_first,premium,enterprise
34.243803,freemium,1,borrow_higher_surplus,start,safe_surplus,premium,freemium
39.296736,freemium,4,borrow_higher_surplus,start,safe_surplus,enterprise,freemium
46.083564,premium,4,borrow_lower,start,load_first,freemium,premium
48.867887,premium,1,borrow_lower,start,load_first,freemium,premium
48.99913,premium,2,borrow_lower,start,load_first,freemium,premium
49.6774,freemium,1,borrow_higher_surplus,start,safe_surplus,premium,freemium
50.625752,premium,1,borrow_lower,start,load_first,freemium,premium
50.83798,freemium,0,borrow_higher_surplus,start,safe_surplus,enterprise,freemium
59.796422,enterprise,3,borrow_lower,start,load_first,freemium,enterprise
63.037638,freemium,7,borrow_higher_surplus,start,safe_surplus,premium,freemium
65.552463,freemium,2,borrow_higher_surplus,start,safe_surplus,premium,freemium
69.858415,freemium,4,borrow_higher_surplus,start,safe_surplus,premium,freemium
71.00224,premium,4,borrow_lower,start,load_first,freemium,premium
73.51915,premium,2,borrow_lower,start,load_first,freemium,premium
76.518525,premium,0,borrow_lower,start,load_first,freemium,premium
83.336405,freemium,6,borrow_higher_surplus,start,safe_surplus,enterprise,freemium
84.888657,premium,7,borrow_lower,start,load_first,freemium,premium
85.87609,freemium,2,borrow_higher_surplus,start,safe_surplus,premium,freemium
86.331317,freemium,1,borrow_higher_surplus,start,safe_surplus,premium,freemium
93.177069,enterprise,0,borrow_lower,start,load_first,premium,enterprise
95.914198,enterprise,6,borrow_lower,start,load_first,freemium,enterprise
99.153133,freemium,7,borrow_higher_surplus,start,safe_surplus,premium,freemium
100.844318,premium,7,borrow_lower,start,load_first,freemium,premium
104.618133,premium,5,borrow_higher_surplus,start,safe_surplus,enterprise,premium
105.896895,freemium,5,borrow_higher_surplus,start,safe_surplus,premium,freemium
107.728572,premium,5,borrow_lower,start,load_first,freemium,premium
108.036436,freemium,5,borrow_higher_surplus,start,safe_surplus,premium,freemium
111.722769,premium,1,borrow_lower,start,load_first,freemium,premium
112.864372,freemium,6,borrow_higher_surplus,start,safe_surplus,enterprise,freemium
114.383329,premium,6,borrow_lower,start,load_first,freemium,premium
122.31225,freemium,7,borrow_higher_surplus,start,safe_surplus,premium,freemium
133.56354,enterprise,6,borrow_lower,start,load_first,premium,enterprise
140.434536,enterprise,2,borrow_lower,start,load_first,freemium,enterprise
140.791462,premium,5,borrow_lower,start,load_first,freemium,premium
143.781385,freemium,4,borrow_higher_surplus,start,safe_surplus,premium,freemium
146.608518,freemium,1,borrow_higher_surplus,start,safe_surplus,premium,freemium
146.798993,premium,7,borrow_lower,start,load_first,freemium,premium
146.828051,freemium,0,borrow_higher_surplus,start,safe_surplus,enterprise,freemium
148.706185,freemium,5,borrow_higher_surplus,start,safe_surplus,premium,freemium
148.760371,freemium,2,borrow_higher_surplus,start,safe_surplus,enterprise,freemium
150.534702,premium,1,borrow_lower,start,load_first,freemium,premium
161.231615,premium,0,borrow_lower,start,load_first,freemium,premium
163.252549,premium,2,borrow_lower,start,load_first,freemium,premium
166.908047,enterprise,5,borrow_lower,start,load_first,freemium,enterprise
167.108549,freemium,2,borrow_higher_surplus,start,safe_surplus,premium,freemium
193.167677,enterprise,3,return_to_origin,return,simple_return,enterprise,freemium
194.574538,enterprise,5,return_to_origin,return,simple_return,enterprise,freemium
199.428224,premium,0,return_to_origin,return,simple_return,premium,freemium
200.717479,premium,1,return_to_origin,return,simple_return,premium,freemium
202.415681,freemium,4,return_to_origin,return,simple_return,freemium,premium
203.75143,freemium,2,return_to_origin,return,simple_return,freemium,premium
205.166248,premium,7,return_to_origin,return,simple_return,premium,freemium
