time_s,enterprise,event,freemium,mixed,premium
0.642215,1,start,1,5,1
0.849197,1,start,1,5,1
1.127565,1,start,1,5,1
1.264784,1,start,1,5,1
1.358111,1,start,1,5,1
1.478232,1,start,1,5,1
1.681853,1,start,1,5,1
2.073763,1,start,1,5,1
2.704478,1,start,1,5,1
3.276327,1,start,1,5,1
3.581972,1,start,1,5,1
3.586398,1,start,1,5,1
3.676297,1,start,1,5,1
4.374377,1,start,1,5,1
4.657087,1,start,1,5,1
5.065847,1,start,1,5,1
5.340604,1,start,1,5,1
5.449162,1,start,1,5,1
5.639513,1,start,1,5,1
5.754497,1,start,1,5,1
6.177081,1,start,1,5,1
6.479548,1,start,1,5,1
6.524914,1,start,1,5,1
6.685602,1,start,1,5,1
6.735907,1,start,1,5,1
6.75734,1,start,1,5,1
7.234204,1,start,1,5,1
7.303093,1,start,1,5,1
8.132033,1,start,1,5,1
8.21232,1,start,1,5,1
8.587141,1,start,2,4,1
8.619193,2,start,2,3,1
8.694156,2,start,2,2,2
8.835645,2,start,2,2,2
9.069285,2,start,2,2,2
9.135429,2,start,2,2,2
9.28464,2,start,2,2,2
9.693539,2,start,2,2,2
9.766178,2,start,2,2,2
10.049861,2,start,2,2,2
10.305361,2,start,2,2,2
10.621592,2,start,2,2,2
10.760736,2,start,2,2,2
11.006205,2,start,2,2,2
11.31424,2,start,2,2,2
12.056107,2,start,2,2,2
12.494798,2,finish,2,2,2
13.030056,2,start,2,2,2
13.057441,2,start,2,2,2
13.09857,2,start,2,2,2
13.123138,2,start,2,2,2
13.196528,2,start,2,2,2
13.258368,2,start,2,2,2
13.263091,2,start,2,2,2
13.326856,2,start,2,2,2
13.999537,2,start,2,2,2
14.08594,2,start,2,2,2
14.74045,2,finish,2,2,2
14.803766,2,start,2,2,2
14.821197,2,start,2,2,2
15.661757,3,start,2,1,2
15.855593,3,start,2,1,2
15.871388,3,start,2,1,2
15.916857,3,start,2,0,3
16.102021,3,finish,2,0,3
16.145568,3,start,2,0,3
16.188526,3,start,2,0,3
16.240308,3,start,2,0,3
16.380478,3,start,2,0,3
16.857413,3,finish,2,0,3
17.267031,3,start,2,0,3
17.305591,3,start,2,0,3
17.311513,3,start,2,0,3
17.793852,3,start,2,0,3
18.335794,3,finish,2,0,3
18.382462,3,finish,2,0,3
18.398089,3,start,2,0,3
18.998204,3,finish,2,0,3
19.031597,3,start,2,0,3
19.107966,3,start,2,0,3
19.151375,3,start,2,0,3
19.36767,3,start,2,0,3
20.069196,3,finish,2,0,3
20.18413,3,finish,2,0,3
20.197763,3,finish,2,0,3
20.315991,3,start,2,0,3
20.439259,3,start,2,0,3
20.768981,3,finish,2,0,3
20.814204,3,finish,2,0,3
20.945801,3,finish,2,0,3
21.098316,3,start,2,0,3
21.334981,3,start,2,0,3
21.578263,3,start,2,0,3
21.763981,3,finish,2,0,3
21.981698,3,start,2,0,3
22.493257,3,start,2,0,3
22.638588,3,start,2,0,3
22.717535,3,finish,2,0,3
22.875762,3,start,2,0,3
22.884702,3,finish,2,0,3
23.287293,3,finish,2,0,3
23.357371,3,start,2,0,3
23.604813,3,finish,2,0,3
23.712471,3,finish,2,0,3
23.957916,3,start,2,0,3
24.222755,3,start,2,0,3
24.371459,3,start,2,0,3
24.561002,3,finish,2,0,3
25.024491,3,start,2,0,3
25.298257,3,finish,2,0,3
25.623193,3,finish,2,0,3
25.63853,3,finish,2,0,3
25.725187,3,finish,2,0,3
25.732581,3,start,2,0,3
26.128566,3,finish,2,0,3
26.350642,3,start,2,0,3
26.44696,3,start,2,0,3
26.722061,3,finish,2,0,3
26.884677,3,start,2,0,3
26.928158,3,finish,2,0,3
27.142225,3,start,2,0,3
27.237163,3,finish,2,0,3
27.404448,3,start,2,0,3
27.56588,3,finish,2,0,3
28.182503,3,finish,2,0,3
28.196464,3,finish,2,0,3
28.360688,3,start,2,0,3
28.370228,3,finish,2,0,3
28.395659,3,finish,2,0,3
28.473869,3,finish,2,0,3
28.609101,3,finish,2,0,3
28.856643,3,start,2,0,3
28.857142,3,finish,2,0,3
28.972504,3,start,2,0,3
29.151883,3,finish,2,0,3
29.167115,3,start,2,0,3
29.407159,3,finish,2,0,3
29.423755,3,start,2,0,3
29.522326,3,finish,2,0,3
29.532417,3,start,2,0,3
29.741039,3,start,2,0,3
29.826918,3,finish,2,0,3
29.897984,3,finish,2,0,3
30.108499,3,start,2,0,3
30.132058,3,start,2,0,3
30.178045,3,finish,2,0,3
30.182541,3,start,2,0,3
30.957888,3,start,2,0,3
31.000092,3,start,2,0,3
31.214233,3,finish,2,0,3
31.23176,3,finish,2,0,3
31.319613,3,start,2,0,3
31.699528,3,start,2,0,3
31.801757,3,start,2,0,3
32.126299,3,start,2,0,3
32.276945,3,start,2,0,3
32.322128,3,start,2,0,3
32.469266,3,finish,2,0,3
32.625982,3,start,2,0,3
32.706531,4,start,2,0,2
32.859577,4,finish,2,0,2
33.061145,4,start,2,0,2
33.188679,4,finish,2,0,2
33.211754,4,finish,2,0,2
33.310915,4,start,2,0,2
33.322581,4,finish,2,0,2
33.355532,4,start,2,0,2
33.442294,4,finish,2,0,2
33.83391,4,finish,2,0,2
34.243803,4,start,3,0,1
34.247168,4,start,3,0,1
34.42782,4,start,3,0,1
34.460638,4,finish,3,0,1
34.822208,4,start,3,0,1
34.851933,4,start,3,0,1
35.039271,4,finish,3,0,1
35.045911,4,finish,3,0,1
35.627237,4,finish,3,0,1
35.962144,4,start,3,0,1
35.966664,4,start,3,0,1
36.018765,4,finish,3,0,1
36.023931,4,finish,3,0,1
36.589509,4,start,3,0,1
36.655597,4,start,3,0,1
37.019768,4,start,3,0,1
37.218978,4,start,3,0,1
37.432544,4,finish,3,0,1
37.44352,4,start,3,0,1
37.44419,4,finish,3,0,1
37.66531,4,finish,3,0,1
37.985735,4,start,3,0,1
38.118113,4,finish,3,0,1
38.144238,4,finish,3,0,1
