time_s,event,job_id,class,replica,slot,policy,action,source_pool,target_pool,reason,pool_sizes,active_total_after,active_by_class_after
0.642215,start,w0!w000000__freemium,freemium,2,200,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""2"": 1}","{""2"": {""freemium"": 1}}"
0.849197,start,w0!w000001__freemium,freemium,2,201,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""2"": 2}","{""2"": {""freemium"": 2}}"
1.127565,start,w0!w000002__freemium,freemium,2,202,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""2"": 3}","{""2"": {""freemium"": 3}}"
1.264784,start,w0!w000003__enterprise,enterprise,0,0,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 1, ""2"": 3}","{""0"": {""enterprise"": 1}, ""2"": {""freemium"": 3}}"
1.358111,start,w0!w000004__enterprise,enterprise,0,1,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 2, ""2"": 3}","{""0"": {""enterprise"": 2}, ""2"": {""freemium"": 3}}"
1.478232,start,w0!w000005__freemium,freemium,2,203,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 2, ""2"": 4}","{""0"": {""enterprise"": 2}, ""2"": {""freemium"": 4}}"
1.681853,start,w0!w000006__freemium,freemium,2,204,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 2, ""2"": 5}","{""0"": {""enterprise"": 2}, ""2"": {""freemium"": 5}}"
2.073763,start,w0!w000007__premium,premium,1,100,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 2, ""1"": 1, ""2"": 5}","{""0"": {""enterprise"": 2}, ""1"": {""premium"": 1}, ""2"": {""freemium"": 5}}"
2.704478,start,w0!w000008__premium,premium,1,101,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 2, ""1"": 2, ""2"": 5}","{""0"": {""enterprise"": 2}, ""1"": {""premium"": 2}, ""2"": {""freemium"": 5}}"
3.276327,start,w0!w000009__premium,premium,1,102,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 2, ""1"": 3, ""2"": 5}","{""0"": {""enterprise"": 2}, ""1"": {""premium"": 3}, ""2"": {""freemium"": 5}}"
3.581972,start,w0!w000010__freemium,freemium,2,205,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 2, ""1"": 3, ""2"": 6}","{""0"": {""enterprise"": 2}, ""1"": {""premium"": 3}, ""2"": {""freemium"": 6}}"
3.586398,start,w0!w000011__enterprise,enterprise,0,2,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 3, ""1"": 3, ""2"": 6}","{""0"": {""enterprise"": 3}, ""1"": {""premium"": 3}, ""2"": {""freemium"": 6}}"
3.676297,start,w0!w000012__enterprise,enterprise,0,3,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 4, ""1"": 3, ""2"": 6}","{""0"": {""enterprise"": 4}, ""1"": {""premium"": 3}, ""2"": {""freemium"": 6}}"
4.374377,start,w0!w000013__premium,premium,1,103,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 4, ""1"": 4, ""2"": 6}","{""0"": {""enterprise"": 4}, ""1"": {""premium"": 4}, ""2"": {""freemium"": 6}}"
4.657087,start,w0!w000014__premium,premium,1,104,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 4, ""1"": 5, ""2"": 6}","{""0"": {""enterprise"": 4}, ""1"": {""premium"": 5}, ""2"": {""freemium"": 6}}"
5.065847,start,w0!w000015__enterprise,enterprise,0,4,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 5, ""1"": 5, ""2"": 6}","{""0"": {""enterprise"": 5}, ""1"": {""premium"": 5}, ""2"": {""freemium"": 6}}"
5.340604,start,w0!w000016__premium,premium,1,105,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 5, ""1"": 6, ""2"": 6}","{""0"": {""enterprise"": 5}, ""1"": {""premium"": 6}, ""2"": {""freemium"": 6}}"
5.449162,start,w0!w000017__premium,premium,1,106,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 5, ""1"": 7, ""2"": 6}","{""0"": {""enterprise"": 5}, ""1"": {""premium"": 7}, ""2"": {""freemium"": 6}}"
5.639513,start,w0!w000018__freemium,freemium,2,206,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 5, ""1"": 7, ""2"": 7}","{""0"": {""enterprise"": 5}, ""1"": {""premium"": 7}, ""2"": {""freemium"": 7}}"
5.754497,start,w0!w000019__freemium,freemium,2,207,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 5, ""1"": 7, ""2"": 8}","{""0"": {""enterprise"": 5}, ""1"": {""premium"": 7}, ""2"": {""freemium"": 8}}"
6.177081,start,w0!w000020__premium,premium,1,107,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 5, ""1"": 8, ""2"": 8}","{""0"": {""enterprise"": 5}, ""1"": {""premium"": 8}, ""2"": {""freemium"": 8}}"
6.479548,start,w0!w000021__premium,premium,1,108,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 5, ""1"": 9, ""2"": 8}","{""0"": {""enterprise"": 5}, ""1"": {""premium"": 9}, ""2"": {""freemium"": 8}}"
6.524914,start,w0!w000022__enterprise,enterprise,0,5,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 6, ""1"": 9, ""2"": 8}","{""0"": {""enterprise"": 6}, ""1"": {""premium"": 9}, ""2"": {""freemium"": 8}}"
6.685602,start,w0!w000023__enterprise,enterprise,0,6,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 7, ""1"": 9, ""2"": 8}","{""0"": {""enterprise"": 7}, ""1"": {""premium"": 9}, ""2"": {""freemium"": 8}}"
6.735907,start,w0!w000024__enterprise,enterprise,0,7,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 8, ""1"": 9, ""2"": 8}","{""0"": {""enterprise"": 8}, ""1"": {""premium"": 9}, ""2"": {""freemium"": 8}}"
6.75734,start,w0!w000025__premium,premium,1,109,plb_nclass,own_pool,premium,premium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 8, ""1"": 10, ""2"": 8}","{""0"": {""enterprise"": 8}, ""1"": {""premium"": 10}, ""2"": {""freemium"": 8}}"
7.234204,start,w0!w000026__freemium,freemium,2,208,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 8, ""1"": 10, ""2"": 9}","{""0"": {""enterprise"": 8}, ""1"": {""premium"": 10}, ""2"": {""freemium"": 9}}"
7.303093,start,w0!w000027__enterprise,enterprise,0,8,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 9, ""1"": 10, ""2"": 9}","{""0"": {""enterprise"": 9}, ""1"": {""premium"": 10}, ""2"": {""freemium"": 9}}"
8.132033,start,w0!w000028__enterprise,enterprise,0,9,plb_nclass,own_pool,enterprise,enterprise,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 10, ""1"": 10, ""2"": 9}","{""0"": {""enterprise"": 10}, ""1"": {""premium"": 10}, ""2"": {""freemium"": 9}}"
8.21232,start,w0!w000029__freemium,freemium,2,209,plb_nclass,own_pool,freemium,freemium,under_theta,"{""enterprise"": 1, ""freemium"": 1, ""mixed"": 5, ""premium"": 1}","{""0"": 10, ""1"": 10, ""2"": 10}","{""0"": {""enterprise"": 10}, ""1"": {""premium"": 10}, ""2"": {""freemium"": 10}}"
