time_s,class__enterprise,class__freemium,class__premium,replica_0,replica_0__enterprise,replica_0__freemium,replica_0__premium,replica_1,replica_1__enterprise,replica_1__freemium,replica_1__premium,replica_2,replica_2__enterprise,replica_2__freemium,replica_2__premium,replica_3,replica_3__enterprise,replica_3__freemium,replica_3__premium,replica_4,replica_4__enterprise,replica_4__freemium,replica_4__premium,replica_5,replica_5__enterprise,replica_5__freemium,replica_5__premium,replica_6,replica_6__enterprise,replica_6__freemium,replica_6__premium,replica_7,replica_7__enterprise,replica_7__freemium,replica_7__premium,total
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
0.642215,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.849197,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2
1.127565,,3,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,3
1.264784,1,3,,1,0,1,,1,0,1,,1,0,1,,1,1,0,,,,,,,,,,,,,,,,,,4
1.358111,2,3,,1,0,1,,1,0,1,,1,0,1,,1,1,0,,1,1,0,,,,,,,,,,,,,,5
1.478232,2,4,,1,0,1,,1,0,1,,1,0,1,,1,1,0,,1,1,0,,1,0,1,,,,,,,,,,6
1.681853,2,5,,1,0,1,,1,0,1,,1,0,1,,1,1,0,,1,1,0,,1,0,1,,1,0,1,,,,,,7
2.073763,2,5,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,8
2.704478,2,5,2,2,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,9
3.276327,2,5,3,2,0,1,1,2,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,10
3.581972,2,6,3,2,0,1,1,2,0,1,1,2,0,2,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,11
3.586398,3,6,3,2,0,1,1,2,0,1,1,2,0,2,0,2,2,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,12
3.676297,4,6,3,2,0,1,1,2,0,1,1,2,0,2,0,2,2,0,0,2,2,0,0,1,0,1,0,1,0,1,0,1,0,0,1,13
4.374377,4,6,4,2,0,1,1,2,0,1,1,2,0,2,0,2,2,0,0,2,2,0,0,2,0,1,1,1,0,1,0,1,0,0,1,14
4.657087,4,6,5,2,0,1,1,2,0,1,1,2,0,2,0,2,2,0,0,2,2,0,0,2,0,1,1,2,0,1,1,1,0,0,1,15
5.065847,5,6,5,2,0,1,1,2,0,1,1,2,0,2,0,2,2,0,0,2,2,0,0,2,0,1,1,2,0,1,1,2,1,0,1,16
5.340604,5,6,6,3,0,1,2,2,0,1,1,2,0,2,0,2,2,0,0,2,2,0,0,2,0,1,1,2,0,1,1,2,1,0,1,17
5.449162,5,6,7,3,0,1,2,3,0,1,2,2,0,2,0,2,2,0,0,2,2,0,0,2,0,1,1,2,0,1,1,2,1,0,1,18
5.639513,5,7,7,3,0,1,2,3,0,1,2,3,0,3,0,2,2,0,0,2,2,0,0,2,0,1,1,2,0,1,1,2,1,0,1,19
5.754497,5,8,7,3,0,1,2,3,0,1,2,3,0,3,0,3,2,1,0,2,2,0,0,2,0,1,1,2,0,1,1,2,1,0,1,20
6.177081,5,8,8,3,0,1,2,3,0,1,2,3,0,3,0,3,2,1,0,3,2,0,1,2,0,1,1,2,0,1,1,2,1,0,1,21
6.479548,5,8,9,3,0,1,2,3,0,1,2,3,0,3,0,3,2,1,0,3,2,0,1,3,0,1,2,2,0,1,1,2,1,0,1,22
6.524914,6,8,9,3,0,1,2,3,0,1,2,3,0,3,0,3,2,1,0,3,2,0,1,3,0,1,2,3,1,1,1,2,1,0,1,23
6.685602,7,8,9,3,0,1,2,3,0,1,2,3,0,3,0,3,2,1,0,3,2,0,1,3,0,1,2,3,1,1,1,3,2,0,1,24
6.735907,8,8,9,4,1,1,2,3,0,1,2,3,0,3,0,3,2,1,0,3,2,0,1,3,0,1,2,3,1,1,1,3,2,0,1,25
6.75734,8,8,10,4,1,1,2,4,0,1,3,3,0,3,0,3,2,1,0,3,2,0,1,3,0,1,2,3,1,1,1,3,2,0,1,26
7.234204,8,9,10,4,1,1,2,4,0,1,3,4,0,4,0,3,2,1,0,3,2,0,1,3,0,1,2,3,1,1,1,3,2,0,1,27
7.303093,9,9,10,4,1,1,2,4,0,1,3,4,0,4,0,4,3,1,0,3,2,0,1,3,0,1,2,3,1,1,1,3,2,0,1,28
8.132033,10,9,10,4,1,1,2,4,0,1,3,4,0,4,0,4,3,1,0,4,3,0,1,3,0,1,2,3,1,1,1,3,2,0,1,29
8.21232,10,10,10,4,1,1,2,4,0,1,3,4,0,4,0,4,3,1,0,4,3,0,1,4,0,2,2,3,1,1,1,3,2,0,1,30
8.587141,10,11,10,4,1,1,2,4,0,1,3,4,0,4,0,4,3,1,0,4,3,0,1,4,0,2,2,4,1,2,1,3,2,0,1,31
8.619193,11,11,10,4,1,1,2,4,0,1,3,4,0,4,0,4,3,1,0,4,3,0,1,4,0,2,2,4,1,2,1,4,3,0,1,32
8.694156,11,11,11,5,1,1,3,4,0,1,3,4,0,4,0,4,3,1,0,4,3,0,1,4,0,2,2,4,1,2,1,4,3,0,1,33
8.835645,11,12,11,5,1,1,3,5,0,2,3,4,0,4,0,4,3,1,0,4,3,0,1,4,0,2,2,4,1,2,1,4,3,0,1,34
9.069285,11,12,12,5,1,1,3,5,0,2,3,5,0,4,1,4,3,1,0,4,3,0,1,4,0,2,2,4,1,2,1,4,3,0,1,35
9.135429,11,12,13,5,1,1,3,5,0,2,3,5,0,4,1,5,3,1,1,4,3,0,1,4,0,2,2,4,1,2,1,4,3,0,1,36
9.28464,11,12,14,5,1,1,3,5,0,2,3,5,0,4,1,5,3,1,1,5,3,0,2,4,0,2,2,4,1,2,1,4,3,0,1,37
9.693539,11,12,15,5,1,1,3,5,0,2,3,5,0,4,1,5,3,1,1,5,3,0,2,5,0,2,3,4,1,2,1,4,3,0,1,38
9.766178,11,13,15,5,1,1,3,5,0,2,3,5,0,4,1,5,3,1,1,5,3,0,2,5,0,2,3,5,1,3,1,4,3,0,1,39
10.049861,11,13,16,5,1,1,3,5,0,2,3,5,0,4,1,5,3,1,1,5,3,0,2,5,0,2,3,5,1,3,1,5,3,0,2,40
10.305361,12,13,16,6,2,1,3,5,0,2,3,5,0,4,1,5,3,1,1,5,3,0,2,5,0,2,3,5,1,3,1,5,3,0,2,41
10.621592,13,13,16,6,2,1,3,6,1,2,3,5,0,4,1,5,3,1,1,5,3,0,2,5,0,2,3,5,1,3,1,5,3,0,2,42
10.760736,13,13,17,6,2,1,3,6,1,2,3,6,0,4,2,5,3,1,1,5,3,0,2,5,0,2,3,5,1,3,1,5,3,0,2,43
11.006205,13,14,17,6,2,1,3,6,1,2,3,6,0,4,2,6,3,2,1,5,3,0,2,5,0,2,3,5,1,3,1,5,3,0,2,44
11.31424,13,14,18,6,2,1,3,6,1,2,3,6,0,4,2,6,3,2,1,6,3,0,3,5,0,2,3,5,1,3,1,5,3,0,2,45
12.056107,14,14,18,6,2,1,3,6,1,2,3,6,0,4,2,6,3,2,1,6,3,0,3,6,1,2,3,5,1,3,1,5,3,0,2,46
12.494798,14,13,18,6,2,1,3,5,1,1,3,6,0,4,2,6,3,2,1,6,3,0,3,6,1,2,3,5,1,3,1,5,3,0,2,45
13.030056,15,13,18,6,2,1,3,5,1,1,3,6,0,4,2,6,3,2,1,6,3,0,3,6,1,2,3,6,2,3,1,5,3,0,2,46
13.057441,16,13,18,6,2,1,3,5,1,1,3,6,0,4,2,6,3,2,1,6,3,0,3,6,1,2,3,6,2,3,1,6,4,0,2,47
13.09857,17,13,18,7,3,1,3,5,1,1,3,6,0,4,2,6,3,2,1,6,3,0,3,6,1,2,3,6,2,3,1,6,4,0,2,48
13.123138,17,14,18,7,3,1,3,6,1,2,3,6,0,4,2,6,3,2,1,6,3,0,3,6,1,2,3,6,2,3,1,6,4,0,2,49
13.196528,17,15,18,7,3,1,3,6,1,2,3,7,0,5,2,6,3,2,1,6,3,0,3,6,1,2,3,6,2,3,1,6,4,0,2,50
13.258368,18,15,18,7,3,1,3,6,1,2,3,7,0,5,2,7,4,2,1,6,3,0,3,6,1,2,3,6,2,3,1,6,4,0,2,51
13.263091,18,15,19,7,3,1,3,6,1,2,3,7,0,5,2,7,4,2,1,7,3,0,4,6,1,2,3,6,2,3,1,6,4,0,2,52
13.326856,18,15,20,7,3,1,3,6,1,2,3,7,0,5,2,7,4,2,1,7,3,0,4,7,1,2,4,6,2,3,1,6,4,0,2,53
13.999537,19,15,20,7,3,1,3,6,1,2,3,7,0,5,2,7,4,2,1,7,3,0,4,7,1,2,4,7,3,3,1,6,4,0,2,54
14.08594,19,16,20,7,3,1,3,6,1,2,3,7,0,5,2,7,4,2,1,7,3,0,4,7,1,2,4,7,3,3,1,7,4,1,2,55
14.74045,19,16,19,7,3,1,3,6,1,2,3,7,0,5,2,7,4,2,1,7,3,0,4,7,1,2,4,7,3,3,1,6,4,1,1,54
14.803766,19,16,20,8,3,1,4,6,1,2,3,7,0,5,2,7,4,2,1,7,3,0,4,7,1,2,4,7,3,3,1,6,4,1,1,55
14.821197,20,16,20,8,3,1,4,7,2,2,3,7,0,5,2,7,4,2,1,7,3,0,4,7,1,2,4,7,3,3,1,6,4,1,1,56
15.661757,21,16,20,8,3,1,4,7,2,2,3,8,1,5,2,7,4,2,1,7,3,0,4,7,1,2,4,7,3,3,1,6,4,1,1,57
15.855593,21,17,20,8,3,1,4,7,2,2,3,8,1,5,2,8,4,3,1,7,3,0,4,7,1,2,4,7,3,3,1,6,4,1,1,58
15.871388,21,18,20,8,3,1,4,7,2,2,3,8,1,5,2,8,4,3,1,8,3,1,4,7,1,2,4,7,3,3,1,6,4,1,1,59
15.916857,21,18,21,8,3,1,4,7,2,2,3,8,1,5,2,8,4,3,1,8,3,1,4,8,1,2,5,7,3,3,1,6,4,1,1,60
16.102021,21,17,21,8,3,1,4,7,2,2,3,7,1,4,2,8,4,3,1,8,3,1,4,8,1,2,5,7,3,3,1,6,4,1,1,59
16.145568,22,17,21,8,3,1,4,7,2,2,3,7,1,4,2,8,4,3,1,8,3,1,4,8,1,2,5,8,4,3,1,6,4,1,1,60
