time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
0.642215,0,0,0,799,1
0.849197,0,0,0,798,2
1.12757,0,0,0,797,3
1.26478,0,0,0,796,4
1.35811,0,0,0,795,5
1.47823,0,0,0,794,6
1.68185,0,0,0,793,7
2.07376,0,0,0,792,8
2.70448,0,0,0,791,9
3.27633,0,0,0,790,10
3.58197,0,0,0,789,11
3.5864,0,0,0,788,12
3.6763,0,0,0,787,13
4.37438,0,0,0,786,14
4.65709,0,0,0,785,15
5.06585,0,0,0,784,16
5.3406,0,0,0,783,17
5.44916,0,0,0,782,18
5.63951,0,0,0,781,19
5.7545,0,0,0,780,20
6.17708,0,0,0,779,21
6.47955,0,0,0,778,22
6.52491,0,0,0,777,23
6.6856,0,0,0,776,24
6.73591,0,0,0,775,25
6.75734,0,0,0,774,26
7.2342,0,0,0,773,27
7.30309,0,0,0,772,28
8.13203,0,0,0,771,29
8.21232,0,0,0,770,30
8.58714,0,0,0,769,31
8.61919,0,0,0,768,32
8.69416,0,0,0,767,33
8.83565,0,0,0,766,34
9.06929,0,0,0,765,35
9.13543,0,0,0,764,36
9.28464,0,0,0,763,37
9.69354,0,0,0,762,38
9.76618,0,0,0,761,39
10.0499,0,0,0,760,40
10.3054,0,0,0,759,41
10.6216,0,0,0,758,42
10.7607,0,0,0,757,43
11.0062,0,0,0,756,44
11.3142,0,0,0,755,45
12.0561,0,0,0,754,46
12.4948,0,0,0,755,45
13.0301,0,0,0,754,46
13.0574,0,0,0,753,47
13.0986,0,0,0,752,48
13.1231,0,0,0,751,49
13.1965,0,0,0,750,50
13.2584,0,0,0,749,51
13.2631,0,0,0,748,52
13.3269,0,0,0,747,53
13.9995,0,0,0,746,54
14.0859,0,0,0,745,55
14.7404,0,0,0,746,54
14.8038,0,0,0,745,55
14.8212,0,0,0,744,56
15.6618,0,0,0,743,57
15.8556,0,0,0,742,58
15.8714,0,0,0,741,59
15.9169,0,0,0,740,60
16.102,0,0,0,741,59
16.1456,0,0,0,740,60
16.1885,0,0,0,739,61
16.2403,0,0,0,738,62
16.3805,0,0,0,737,63
16.8574,0,0,0,738,62
17.267,0,0,0,737,63
17.3056,0,0,0,736,64
17.3115,0,0,0,735,65
17.7939,0,0,0,734,66
18.3358,0,0,0,735,65
18.3825,0,0,0,736,64
18.3981,0,0,0,735,65
18.9982,0,0,0,736,64
19.0316,0,0,0,735,65
19.108,0,0,0,734,66
19.1514,0,0,0,733,67
19.3677,0,0,0,732,68
20.0692,0,0,0,733,67
20.1841,0,0,0,734,66
20.1978,0,0,0,735,65
20.316,0,0,0,734,66
20.4393,0,0,0,733,67
20.769,0,0,0,734,66
20.8142,0,0,0,735,65
20.9458,0,0,0,736,64
21.0983,0,0,0,735,65
21.335,0,0,0,734,66
21.5783,0,0,0,733,67
21.764,0,0,0,734,66
21.9817,0,0,0,733,67
22.4933,0,0,0,732,68
22.6386,0,0,0,731,69
22.7175,0,0,0,732,68
22.8758,0,0,0,731,69
22.8847,0,0,0,732,68
23.2873,0,0,0,733,67
23.3574,0,0,0,732,68
23.6048,0,0,0,733,67
23.7125,0,0,0,734,66
23.9579,0,0,0,733,67
24.2228,0,0,0,732,68
24.3715,0,0,0,731,69
24.561,0,0,0,732,68
25.0245,0,0,0,731,69
25.2983,0,0,0,732,68
25.6232,0,0,0,733,67
25.6385,0,0,0,734,66
25.7252,0,0,0,735,65
25.7326,0,0,0,734,66
26.1286,0,0,0,735,65
26.3506,0,0,0,734,66
26.447,0,0,0,733,67
26.7221,0,0,0,734,66
26.8847,0,0,0,733,67
26.9282,0,0,0,734,66
27.1422,0,0,0,733,67
27.2372,0,0,0,734,66
27.4044,0,0,0,733,67
27.5659,0,0,0,734,66
28.1825,0,0,0,735,65
28.1965,0,0,0,736,64
28.3607,0,0,0,735,65
28.3702,0,0,0,736,64
28.3957,0,0,0,737,63
28.4739,0,0,0,738,62
28.6091,0,0,0,739,61
28.8566,0,0,0,738,62
28.8571,0,0,0,739,61
28.9725,0,0,0,738,62
29.1519,0,0,0,739,61
29.1671,0,0,0,738,62
29.4072,0,0,0,739,61
29.4238,0,0,0,738,62
29.5223,0,0,0,739,61
29.5324,0,0,0,738,62
29.741,0,0,0,737,63
29.8269,0,0,0,738,62
29.898,0,0,0,739,61
30.1085,0,0,0,738,62
30.1321,0,0,0,737,63
30.178,0,0,0,738,62
30.1825,0,0,0,737,63
30.9579,0,0,0,736,64
31.0001,0,0,0,735,65
31.2142,0,0,0,736,64
31.2318,0,0,0,737,63
31.3196,0,0,0,736,64
31.6995,0,0,0,735,65
31.8018,0,0,0,734,66
32.1263,0,0,0,733,67
32.2769,0,0,0,732,68
32.3221,0,0,0,731,69
32.4693,0,0,0,732,68
32.626,0,0,0,731,69
32.7065,0,0,0,730,70
32.8596,0,0,0,731,69
33.0611,0,0,0,730,70
33.1887,0,0,0,731,69
33.2118,0,0,0,732,68
33.3109,0,0,0,731,69
33.3226,0,0,0,732,68
33.3555,0,0,0,731,69
33.4423,0,0,0,732,68
33.8339,0,0,0,733,67
34.2438,0,0,0,732,68
34.2472,0,0,0,731,69
34.4278,0,0,0,730,70
34.4606,0,0,0,731,69
34.8222,0,0,0,730,70
34.8519,0,0,0,729,71
35.0393,0,0,0,730,70
35.0459,0,0,0,731,69
35.6272,0,0,0,732,68
35.9621,0,0,0,731,69
35.9667,0,0,0,730,70
36.0188,0,0,0,731,69
36.0239,0,0,0,732,68
36.5895,0,0,0,731,69
36.6556,0,0,0,730,70
37.0198,0,0,0,729,71
37.219,0,0,0,728,72
37.4325,0,0,0,729,71
37.4435,0,0,0,728,72
37.4442,0,0,0,729,71
37.6653,0,0,0,730,70
37.9857,0,0,0,729,71
38.1181,0,0,0,730,70
38.1442,0,0,0,731,69
38.2719,0,0,0,730,70
38.3333,0,0,0,731,69
38.4029,0,0,0,732,68
38.8324,0,0,0,731,69
38.9656,0,0,0,730,70
39.2967,0,0,0,729,71
39.3754,0,0,0,730,70
39.4598,0,0,0,731,69
39.5551,0,0,0,732,68
39.6397,0,0,0,731,69
39.9846,0,0,0,732,68
40.0465,0,0,0,733,67
40.0717,0,0,0,734,66
40.1274,0,0,0,735,65
40.1974,0,0,0,734,66
40.6419,0,0,0,733,67
40.6908,0,0,0,732,68
40.7813,0,0,0,733,67
40.7957,0,0,0,732,68
40.8423,0,0,0,733,67
41.0827,0,0,0,734,66
41.4785,0,0,0,735,65
41.506,0,0,0,736,64
41.6412,0,0,0,737,63
41.672,0,0,0,736,64
41.7195,0,0,0,735,65
41.8723,0,0,0,734,66
42.2994,0,0,0,733,67
42.4768,0,0,0,734,66
42.711,0,0,0,735,65
42.7356,0,0,0,734,66
42.7998,0,0,0,733,67
42.8101,0,0,0,734,66
42.814,0,0,0,735,65
43.0512,0,0,0,736,64
43.5458,0,0,0,737,63
44.3471,0,0,0,738,62
44.4092,0,0,0,739,61
44.5963,0,0,0,738,62
44.7219,0,0,0,739,61
44.7538,0,0,0,740,60
44.8885,0,0,0,741,59
44.9692,0,0,0,740,60
45.6311,0,0,0,741,59
45.855,0,0,0,740,60
45.8601,0,0,0,739,61
45.9141,0,0,0,740,60
45.9457,0,0,0,739,61
46.0836,0,0,0,738,62
46.1294,0,0,0,737,63
46.3969,0,0,0,736,64
46.5088,0,0,0,735,65
46.5781,0,0,0,734,66
46.7226,0,0,0,733,67
46.7802,0,0,0,734,66
46.8266,0,0,0,733,67
46.9465,0,0,0,732,68
47.2111,0,0,0,733,67
47.8401,0,0,0,732,68
48.0168,0,0,0,733,67
48.2067,0,0,0,732,68
48.302,0,0,0,733,67
48.364,0,0,0,734,66
48.4084,0,0,0,735,65
48.5688,0,0,0,734,66
48.6028,0,0,0,735,65
48.6056,0,0,0,734,66
48.6828,0,0,0,735,65
48.7025,0,0,0,734,66
48.8069,0,0,0,733,67
48.8679,0,0,0,732,68
48.9991,0,0,0,731,69
49.281,0,0,0,730,70
49.2959,0,0,0,731,69
49.4267,0,0,0,730,70
49.5918,0,0,0,731,69
49.6774,0,0,0,730,70
49.6875,0,0,0,731,69
49.7033,0,0,0,730,70
49.9122,0,0,0,729,71
49.9216,0,0,0,730,70
50.6258,0,0,0,729,71
50.838,0,0,0,728,72
50.9327,0,0,0,729,71
51.1419,0,0,0,730,70
51.1853,0,0,0,731,69
51.6184,0,0,0,732,68
51.6684,0,0,0,731,69
52.0676,0,0,0,732,68
52.0958,0,0,0,733,67
52.7823,0,0,0,734,66
53.2783,0,0,0,735,65
53.3191,0,0,0,736,64
53.343,0,0,0,737,63
53.5732,0,0,0,736,64
53.6131,0,0,0,735,65
53.6972,0,0,0,736,64
53.9368,0,0,0,737,63
54.1696,0,0,0,738,62
54.4428,0,0,0,737,63
