time_s,event,job_id,class,replica,slot,policy,action,source_pool,target_pool,reason,pool_sizes,active_total_after,active_by_class_after
0.642215,start,w0!w000000__freemium,freemium,0,0,round_robin,,,,,,"{""0"": 1}","{""0"": {""freemium"": 1}}"
0.849197,start,w0!w000001__freemium,freemium,1,100,round_robin,,,,,,"{""0"": 1, ""1"": 1}","{""0"": {""freemium"": 1}, ""1"": {""freemium"": 1}}"
1.127565,start,w0!w000002__freemium,freemium,2,200,round_robin,,,,,,"{""0"": 1, ""1"": 1, ""2"": 1}","{""0"": {""freemium"": 1}, ""1"": {""freemium"": 1}, ""2"": {""freemium"": 1}}"
1.264784,start,w0!w000003__enterprise,enterprise,3,300,round_robin,,,,,,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}","{""0"": {""freemium"": 1}, ""1"": {""freemium"": 1}, ""2"": {""freemium"": 1}, ""3"": {""enterprise"": 1}}"
1.358111,start,w0!w000004__enterprise,enterprise,4,400,round_robin,,,,,,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1}","{""0"": {""freemium"": 1}, ""1"": {""freemium"": 1}, ""2"": {""freemium"": 1}, ""3"": {""enterprise"": 1}, ""4"": {""enterprise"": 1}}"
1.478232,start,w0!w000005__freemium,freemium,5,500,round_robin,,,,,,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}","{""0"": {""freemium"": 1}, ""1"": {""freemium"": 1}, ""2"": {""freemium"": 1}, ""3"": {""enterprise"": 1}, ""4"": {""enterprise"": 1}, ""5"": {""freemium"": 1}}"
1.681853,start,w0!w000006__freemium,freemium,6,600,round_robin,,,,,,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}","{""0"": {""freemium"": 1}, ""1"": {""freemium"": 1}, ""2"": {""freemium"": 1}, ""3"": {""enterprise"": 1}, ""4"": {""enterprise"": 1}, ""5"": {""freemium"": 1}, ""6"": {""freemium"": 1}}"
2.073763,start,w0!w000007__premium,premium,7,700,round_robin,,,,,,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}","{""0"": {""freemium"": 1}, ""1"": {""freemium"": 1}, ""2"": {""freemium"": 1}, ""3"": {""enterprise"": 1}, ""4"": {""enterprise"": 1}, ""5"": {""freemium"": 1}, ""6"": {""freemium"": 1}, ""7"": {""premium"": 1}}"
2.704478,start,w0!w000008__premium,premium,0,1,round_robin,,,,,,"{""0"": 2, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}","{""0"": {""freemium"": 1, ""premium"": 1}, ""1"": {""freemium"": 1}, ""2"": {""freemium"": 1}, ""3"": {""enterprise"": 1}, ""4"": {""enterprise"": 1}, ""5"": {""freemium"": 1}, ""6"": {""freemium"": 1}, ""7"": {""premium"": 1}}"
3.276327,start,w0!w000009__premium,premium,1,101,round_robin,,,,,,"{""0"": 2, ""1"": 2, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}","{""0"": {""freemium"": 1, ""premium"": 1}, ""1"": {""freemium"": 1, ""premium"": 1}, ""2"": {""freemium"": 1}, ""3"": {""enterprise"": 1}, ""4"": {""enterprise"": 1}, ""5"": {""freemium"": 1}, ""6"": {""freemium"": 1}, ""7"": {""premium"": 1}}"
